link_id, demand, travel_fare, WTW, PEV, area, speed,
0, 5000, 20, 20, 0.05, 10000, 60,
1, 5000, 20, 20, 0.05, 10000, 60,
2, 5000, 20, 20, 0.05, 10000, 60,
3, 5000, 20, 20, 0.05, 10000, 60,
4, 5000, 20, 20, 0.05, 10000, 60,
5, 5000, 20, 20, 0.05, 10000, 60,
6, 10000, 20, 20, 0.04, 10000, 50,
7, 50000, 20, 40, 0.03, 10000, 40,
8, 50000, 20, 40, 0.03, 10000, 40,
9, 50000, 20, 40, 0.03, 10000, 40,
10, 30000, 20, 40, 0.03, 10000, 50,
11, 5000, 20, 20, 0.04, 10000, 60,
12, 8000, 20, 20, 0.04, 10000, 60,
13, 8000, 20, 20, 0.04, 10000, 60,
14, 5000, 20, 20, 0.04, 10000, 60,
15, 3000, 20, 20, 0.04, 10000, 60,
16, 10000, 20, 20, 0.04, 10000, 50,
17, 50000, 20, 40, 0.03, 10000, 40,
18, 50000, 20, 40, 0.03, 10000, 40,
19, 30000, 20, 20, 0.04, 10000, 50,
20, 20000, 20, 20, 0.04, 10000, 50,
21, 10000, 20, 20, 0.05, 10000, 60,
22, 8000, 20, 20, 0.05, 10000, 60,
23, 5000, 20, 20, 0.05, 10000, 60,



